et340228610 	10.2.3.102 	fc-aa-14-f7-8d-e9
et340228610 	10.2.3.115 	6c-62-6d-f6-af-d0
et340228610 	10.2.3.16 	6c-62-6d-f6-b0-e6
et340228610 	10.2.3.19 	6c-62-6d-f6-bb-84
et340228610 	10.2.3.41 	fc-aa-14-f7-8f-21
et340228610 	10.2.3.49 	6c-62-6d-f4-b0-21
et340228610 	10.2.3.51 	fc-aa-14-f7-90-ea
et340228610 	10.2.3.76 	6c-62-6d-f6-b3-7d
et340228610 	10.2.3.80 	6c-62-6d-f4-ae-e3
et340228610 	10.2.3.85 	fc-aa-14-f7-8e-34
et340228680 	10.2.11.23 	6c-62-6d-f6-b7-73
et340228680 	10.2.11.33 	fc-aa-14-f7-90-8f
et340228680 	10.2.11.37 	fc-aa-14-f7-8d-c3
et340228680 	10.2.11.53 	d4-3d-7e-90-1a-9b
et340228819 	10.2.1.102 	6c-62-6d-f6-b7-9a
et340228819 	10.2.1.138 	6c-62-6d-f6-b9-1d
et340228819 	10.2.1.139 	6c-62-6d-f6-b1-37
et340228819 	10.2.1.141 	6c-62-6d-f6-b8-d6
et340228819 	10.2.1.159 	6c-62-6d-f6-b7-7a
et340228819 	10.2.1.170 	6c-62-6d-f6-af-93
et340228819 	10.2.1.182 	6c-62-6d-f6-af-d9
et340228819 	10.2.1.192 	6c-62-6d-f6-b8-8a
et340228819 	10.2.1.199 	fc-aa-14-f7-8c-64
et340228819 	10.2.1.201 	6c-62-6d-f6-bb-f9
et340228819 	10.2.1.23 	fc-aa-14-f7-8f-c2
et340228819 	10.2.1.38 	6c-62-6d-f6-b0-3c
et340228819 	10.2.1.57 	94-de-80-61-06-ab
et340228819 	10.2.1.68 	fc-aa-14-f7-91-eb
et340228819 	10.2.2.122 	fc-aa-14-f7-92-92
et340228819 	10.2.2.129 	fc-aa-14-f7-8d-6b
et340228819 	10.2.2.13 	6c-62-6d-f6-af-b3
et340228819 	10.2.2.131 	fc-aa-14-f7-91-7f
et340228819 	10.2.2.14 	44-8a-5b-68-f6-74
et340228819 	10.2.2.145 	fc-aa-14-f7-8f-fd
et340228819 	10.2.2.176 	fc-aa-14-f7-91-d7
et340228819 	10.2.2.185 	fc-aa-14-f7-8d-91
et340228819 	10.2.2.225 	fc-aa-14-f7-92-9a
et340228819 	10.2.2.27 	fc-aa-14-f7-91-b5
et340228819 	10.2.2.34 	fc-aa-14-f7-8d-1d
et340228819 	10.2.2.37 	fc-aa-14-f7-8e-f7
et340228819 	10.2.2.42 	94-de-80-a6-ac-3a
et340228819 	10.2.2.44 	fc-aa-14-f7-8c-53
et340228819 	10.2.2.52 	94-de-80-c4-48-d0
et340228819 	10.2.2.56 	fc-aa-14-f7-90-2d
et340228819 	10.2.2.59 	fc-aa-14-f7-8c-63
et340228819 	10.2.2.66 	fc-aa-14-f7-8d-b3
et340228819 	10.2.2.77 	fc-aa-14-f7-8d-06
et340228819 	10.2.2.86 	fc-aa-14-f7-92-9f
et340228819 	10.2.2.93 	fc-aa-14-f7-90-ed
